mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
302,720,29100,8302919,45.4138662,-75.7071391,-91,1607268942507,27.1,0.0,0.0,LTE+,2,,29100,441,,,
302,720,29100,8302919,45.4142311,-75.7071866,-90,1607268949312,32.1,0.09273122,354.7736,LTE+,2,,29100,441,,,
302,720,29100,9752904,45.415086,-75.7076325,-80,1607268960000,19.3,5.3322597,10.676975,LTE+,2,,29100,272,,,
302,720,29100,9752904,45.4154914,-75.7065997,-72,1607268970000,8.6,9.764421,59.924576,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4157005,-75.7060066,-72,1607268975000,7.5,9.991204,59.1024,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4158648,-75.7054397,-80,1607268980000,6.4,9.465948,59.22351,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4162127,-75.7045132,-94,1607268990000,8.6,8.273621,58.204384,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4163746,-75.7040188,-105,1607268995000,10.7,9.173996,61.992783,LTE+,2,,29100,272,,,
302,720,29100,9752903,45.4165715,-75.7034821,-99,1607269000000,20.4,9.579244,57.638348,LTE+,2,,29100,264,,,
302,720,29100,9752903,45.4169592,-75.7025028,-101,1607269010000,13.9,9.453737,55.577118,LTE+,2,,29100,264,,,
302,720,29100,9751881,45.4173816,-75.7015215,-108,1607269020000,26.8,7.0552106,60.149364,LTE,3,,29100,277,,,
302,720,29100,9567816,45.4175738,-75.7012065,-94,1607269025000,27.0,6.5289264,53.530666,LTE+,2,,29100,248,,,
302,720,29100,9567816,45.4176572,-75.701114,-102,1607269031955,39.9,2.0610785,44.946796,LTE+,2,,29100,248,,,
302,720,29100,9567816,45.4176057,-75.7012223,-101,1607269036968,37.0,0.2358172,279.97083,LTE+,2,,29100,248,,,
302,720,29100,9567816,45.4175694,-75.7012232,-103,1607269042328,42.5,0.4114422,193.53336,LTE+,2,,29100,248,,,
302,720,29100,9567816,45.417589,-75.7011705,-102,1607269047414,40.8,0.35309616,84.584656,LTE+,2,,29100,248,,,
302,720,29100,9567816,45.417799,-75.7007513,-109,1607269055000,22.5,8.472166,55.375042,LTE+,2,,29100,248,,,
302,720,29100,9567815,45.4183088,-75.6997637,-94,1607269065000,26.8,8.644275,57.84211,LTE+,3,,29100,240,,,
302,720,29100,9567815,45.4185872,-75.6991525,-88,1607269071000,31.1,8.942919,59.65871,LTE+,3,,29100,240,,,
302,720,29100,9567815,45.4190812,-75.6981608,-96,1607269080000,24.7,9.9973955,51.759705,LTE+,2,,29100,240,,,
302,720,29100,9567815,45.4194148,-75.6971426,-102,1607269090000,23.6,6.296662,65.710594,LTE,3,,29100,240,,,
302,720,29100,9438792,45.4193252,-75.6969013,-91,1607269100000,13.3,4.624509,157.20384,LTE,2,,29100,200,,,
302,720,29100,9438792,45.4190956,-75.6967868,-91,1607269105000,12.9,4.6573267,149.89098,LTE,2,,29100,200,,,
302,720,29100,9438792,45.4188704,-75.6966087,-93,1607269112396,48.6,1.1037288,126.20235,LTE,2,,29100,200,,,
302,720,29100,9751879,45.4188127,-75.6964516,-88,1607269117505,63.7,1.7248117,118.11835,LTE+,3,,29100,261,,,
302,720,29100,9751879,45.4187948,-75.6964917,-103,1607269122594,62.7,0.25053135,219.01071,LTE+,3,,29100,261,,,
302,720,29100,9751879,45.4183654,-75.6974449,-112,1607269130000,8.0,6.950214,239.01018,LTE+,4,,29100,261,,,
302,720,29100,9567815,45.4182324,-75.6978595,-101,1607269135000,9.6,4.099171,243.69159,LTE+,3,,29100,240,,,
302,720,29100,9567815,45.4181311,-75.698256,-98,1607269145000,11.8,5.3215966,244.37943,LTE+,3,,29100,240,,,
302,720,29100,9567815,45.4179917,-75.6986354,-97,1607269150000,8.6,7.4743137,238.1266,LTE,2,,29100,240,,,
302,720,29100,9567815,45.4176176,-75.6993005,-108,1607269160000,12.3,4.5879097,220.61478,LTE,3,,29100,240,,,
