mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
302,720,29100,9567049,45.4162085,-75.6717506,-89,1610209931784,122.4,3.2577624,329.61618,LTE+,2,,29100,373,,,
302,720,29100,9567049,45.4179954,-75.6736827,-93,1610209938000,7.0,13.683901,281.50137,LTE+,2,,29100,373,,,
302,720,29100,9567049,45.4181599,-75.6745053,-106,1610209943000,10.7,10.310571,294.17035,LTE+,3,,29100,373,,,
302,720,29100,9567049,45.4183973,-75.6747514,-109,1610209953000,9.6,0.38048515,297.33582,LTE+,4,,29100,373,,,
302,720,29100,9567049,45.418447,-75.6746524,-108,1610209958000,8.7,0.50730723,21.511765,LTE+,4,,29100,373,,,
302,720,29100,9567049,45.4184949,-75.6745125,-108,1610209963706,20.6,0.90360475,91.9878,LTE+,3,,29100,373,,,
302,720,29100,9567049,45.4184157,-75.6745073,-107,1610209968759,23.0,1.3419765,202.94434,LTE+,4,,29100,373,,,
302,720,29100,9567049,45.4183901,-75.6747471,-108,1610209978000,17.1,6.7202353,292.08704,LTE+,4,,29100,373,,,
302,720,29100,9567049,45.4187054,-75.675881,-92,1610209988000,6.4,10.23476,281.3654,LTE+,4,,29100,373,,,
302,720,29100,9567049,45.4190112,-75.6771883,-101,1610209998000,6.4,10.154378,278.43457,LTE+,3,,29100,373,,,
302,720,29100,9567049,45.4187671,-75.6784319,-104,1610210008000,15.0,12.789734,211.55638,LTE+,5,,29100,373,,,
302,720,29100,9567049,45.4173141,-75.6785482,-94,1610210018000,8.6,12.325296,189.2652,LTE,,,29100,373,,,
302,720,29100,9567049,45.4168233,-75.6788327,-104,1610210023000,8.6,10.431416,223.08534,LTE+,4,,29100,373,,,
302,720,29100,7693128,45.4160887,-75.6794946,-105,1610210033000,8.6,11.090378,199.1636,LTE+,5,,29100,221,,,
302,720,29100,7693128,45.4150918,-75.6800036,-112,1610210043000,13.9,9.916372,203.7752,LTE,5,,29100,221,,,
302,720,29100,9566998,45.4146757,-75.6803583,-99,1610210048000,10.7,10.43403,212.65506,LTE+,5,,29100,365,,,
302,720,29100,7693077,45.4142639,-75.6810523,-101,1610210058000,8.6,0.5515238,240.12021,LTE+,6,,29100,213,,,
302,720,29100,7693077,45.4143169,-75.6810458,-102,1610210063000,9.3,0.40715352,233.87782,LTE+,6,,29100,213,,,
302,720,29100,7693077,45.4143552,-75.6810585,-102,1610210073000,7.5,1.6668715,260.70117,LTE+,6,,29100,213,,,
302,720,29100,7693077,45.4148496,-75.6814577,-96,1610210083000,8.6,8.557766,336.92148,LTE+,6,,29100,213,,,
302,720,29100,7693077,45.4151627,-75.6816318,-93,1610210088000,8.6,2.550255,340.5925,LTE,,,29100,213,,,
302,720,29100,7693077,45.4152325,-75.6815786,-90,1610210093000,8.8,5.6659245,16.00684,LTE+,5,,29100,213,,,
302,720,29100,7693077,45.4162516,-75.681014,-83,1610210103000,8.6,13.830246,21.905125,LTE+,5,,29100,213,,,
302,720,29100,7693077,45.4169279,-75.680591,-83,1610210108000,9.6,14.9621105,28.687456,LTE+,4,,29100,213,,,
302,720,29100,7693077,45.417575,-75.6800954,-86,1610210113000,9.6,14.1470375,25.148226,LTE+,4,,29100,213,,,
302,720,29100,7693078,45.418886,-75.6799325,-91,1610210123000,6.4,15.169995,334.0462,LTE+,3,,29100,221,,,
302,720,29100,7693078,45.4197523,-75.6814283,-100,1610210133000,9.6,15.803603,304.10822,LTE+,3,,29100,221,,,
302,720,29100,7693078,45.4201564,-75.6822315,-97,1610210138000,11.8,13.690098,304.04285,LTE+,3,,29100,221,,,
302,720,29100,7693078,45.420493,-75.6828982,-91,1610210148000,8.6,0.5312826,298.8828,LTE+,2,,29100,221,,,
302,720,29100,7693078,45.420368,-75.682827,-91,1610210153000,13.2,0.1739187,295.4651,LTE+,2,,29100,221,,,
302,720,29100,7693078,45.4203548,-75.6828527,-92,1610210158928,26.4,0.55404204,302.48523,LTE+,2,,29100,221,,,
302,720,29100,7693078,45.4205162,-75.6832664,-95,1610210168000,21.9,10.459592,303.853,LTE+,2,,29100,221,,,
302,720,29100,7693078,45.4212463,-75.6846738,-84,1610210178000,16.1,15.808821,306.04135,LTE+,2,,29100,221,,,
302,720,29100,7693078,45.4221249,-75.6865315,-87,1610210188000,14.5,16.256428,295.36996,LTE+,0,,29100,221,,,
302,720,29100,7693078,45.4224401,-75.6874677,-91,1610210193000,16.1,16.383522,292.17993,LTE+,2,,29100,221,,,
302,720,29100,7693078,45.4230106,-75.6893766,-93,1610210203000,15.0,15.63405,298.7487,LTE,3,,29100,221,,,
302,720,29100,8227606,45.4236913,-75.6910794,-101,1610210213000,17.7,14.335912,294.47165,LTE+,3,,29100,176,,,
302,720,29100,8227606,45.423926,-75.6918863,-91,1610210218000,15.0,12.352479,308.02863,LTE+,3,,29100,176,,,
302,720,29100,8227606,45.4247874,-75.6928314,-89,1610210228000,13.9,11.880285,330.63657,LTE+,1,,29100,176,,,
302,720,29100,8227606,45.425309,-75.6931052,-89,1610210238000,17.2,0.25413,78.21755,LTE+,2,,29100,176,,,
302,720,29100,8227606,45.425213,-75.6930502,-90,1610210243641,34.1,1.6474934,160.17896,LTE+,2,,29100,176,,,
302,720,29100,8227606,45.4252205,-75.6932059,-90,1610210253000,31.2,3.614717,319.9785,LTE+,1,,29100,176,,,
302,720,29100,8227606,45.425393,-75.6932711,-92,1610210258726,28.7,3.6432133,316.06723,LTE+,2,,29100,176,,,
